"Label","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income (dollars)","Mean income (dollars)","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,757","2.3%","1.5%","2.4%","2.5%","8.5%","13.8%","13.9%","28.0%","11.9%","15.3%","105,250","121,755","","26.2%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","799","0.0%","0.0%","2.1%","1.8%","1.8%","0.0%","9.6%","26.2%","19.6%","38.9%","162,578","187,969","","(X)","39.3%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","769","0.0%","0.0%","2.2%","1.8%","1.8%","0.0%","6.1%","27.2%","20.4%","40.4%","164,922","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,958","3.2%","2.1%","2.5%","2.9%","11.3%","19.5%","15.6%","28.7%","8.7%","5.6%","87,727","94,146","","(X)","(X)","20.1%"
"Census Tract 40.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,220","3.3%","0.0%","4.4%","2.9%","3.8%","8.1%","8.4%","25.0%","10.8%","33.3%","138,804","188,660","","27.7%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","755","0.0%","0.0%","0.0%","0.0%","6.9%","5.0%","2.3%","11.8%","17.0%","57.1%","250,000+","272,493","","(X)","25.4%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","699","0.0%","0.0%","0.0%","0.0%","7.4%","1.6%","2.4%","12.7%","18.3%","57.5%","250,000+","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,465","5.0%","0.0%","6.7%","4.4%","2.2%","11.5%","11.6%","30.0%","7.6%","21.0%","121,813","144,173","","(X)","(X)","28.9%"
"Census Tract 40.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,754","2.1%","0.8%","2.3%","2.8%","5.6%","14.8%","12.3%","27.2%","13.2%","18.9%","117,045","143,943","","16.5%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","445","0.0%","0.0%","2.9%","1.3%","2.0%","7.9%","1.3%","23.1%","17.3%","44.0%","194,013","211,821","","(X)","16.4%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","385","0.0%","0.0%","1.0%","1.6%","2.3%","6.2%","1.6%","24.4%","16.9%","46.0%","195,972","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,309","2.8%","1.1%","3.1%","3.3%","6.9%","17.2%","16.0%","28.6%","11.7%","9.5%","99,417","118,145","","(X)","(X)","15.8%"
"Census Tract 41, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,398","0.8%","1.2%","0.3%","1.2%","2.7%","13.5%","14.2%","13.9%","11.7%","40.3%","156,486","243,707","","19.0%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","523","0.0%","0.0%","0.0%","0.0%","0.0%","5.4%","6.3%","9.9%","12.2%","66.2%","247,083","363,299","","(X)","24.3%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","496","0.0%","0.0%","0.0%","0.0%","0.0%","5.6%","6.7%","9.5%","12.9%","65.3%","239,907","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","875","1.3%","1.9%","0.5%","1.9%","4.3%","18.4%","19.0%","16.3%","11.4%","24.9%","104,850","170,043","","(X)","(X)","15.8%"
"Census Tract 42.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,998","1.1%","2.7%","3.1%","0.7%","3.7%","12.5%","13.7%","22.0%","12.6%","28.1%","123,148","160,719","","28.6%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","390","0.0%","0.0%","0.0%","3.6%","0.0%","18.7%","3.3%","8.7%","18.2%","47.4%","199,074","205,359","","(X)","11.8%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","358","0.0%","0.0%","0.0%","3.9%","0.0%","11.5%","3.6%","9.5%","19.8%","51.7%","221,154","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,608","1.3%","3.3%","3.8%","0.0%","4.6%","12.0%","15.1%","25.2%","11.2%","23.4%","108,111","149,751","","(X)","(X)","31.6%"
"Census Tract 42.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,621","4.0%","0.3%","2.3%","4.3%","4.9%","16.3%","16.2%","19.6%","13.1%","19.0%","105,742","158,871","","20.1%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","301","0.0%","0.0%","0.0%","0.0%","4.7%","0.0%","9.0%","23.9%","17.6%","44.9%","193,155","250,125","","(X)","16.9%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","278","0.0%","0.0%","0.0%","0.0%","5.0%","0.0%","4.3%","25.9%","19.1%","45.7%","193,571","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,320","4.9%","0.4%","2.9%","5.2%","4.9%","20.0%","17.9%","18.6%","12.0%","13.1%","87,619","136,104","","(X)","(X)","20.8%"
"Census Tract 43, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,221","5.7%","6.3%","10.2%","4.9%","3.6%","12.5%","7.7%","19.2%","10.0%","19.9%","97,688","136,265","","23.4%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","573","5.2%","0.0%","1.9%","3.3%","5.6%","8.7%","4.4%","19.7%","9.9%","41.2%","160,903","234,447","","(X)","40.5%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","430","4.0%","0.0%","2.6%","0.0%","4.0%","6.0%","5.8%","14.2%","8.6%","54.9%","212,000","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,648","5.8%","8.6%","13.1%","5.4%","2.9%","13.8%","8.8%","19.8%","10.1%","11.8%","76,094","99,628","","(X)","(X)","15.8%"
"Census Tract 44, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,790","2.2%","1.1%","2.6%","3.9%","2.2%","6.3%","5.2%","17.3%","16.7%","42.3%","179,932","211,327","","29.9%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","798","2.0%","0.0%","2.8%","0.0%","2.3%","3.1%","3.0%","6.3%","20.4%","60.2%","250,000+","290,016","","(X)","46.2%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","741","2.2%","0.0%","3.0%","0.0%","0.0%","3.4%","0.3%","4.5%","22.0%","64.8%","250,000+","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,992","2.3%","1.6%","2.6%","5.5%","2.2%","7.6%","6.1%","21.8%","15.3%","35.2%","150,865","179,804","","(X)","(X)","23.4%"
"Census Tract 46, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,428","5.0%","5.0%","11.7%","2.7%","3.9%","5.7%","11.3%","24.3%","14.8%","15.5%","112,000","122,545","","36.1%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","380","2.9%","0.0%","11.8%","0.0%","1.6%","5.3%","8.9%","37.4%","12.1%","20.0%","128,333","143,288","","(X)","35.8%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","224","4.9%","0.0%","0.0%","0.0%","0.0%","5.8%","4.5%","41.5%","20.5%","22.8%","144,545","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,048","5.8%","6.9%","11.6%","3.6%","4.8%","5.9%","13.4%","19.5%","15.7%","12.8%","97,429","114,070","","(X)","(X)","35.2%"
"Census Tract 47.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,482","15.9%","6.5%","7.5%","10.4%","13.2%","7.5%","6.4%","19.4%","5.6%","7.6%","48,851","77,707","","37.4%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","717","23.2%","4.0%","6.1%","5.7%","30.7%","3.6%","2.2%","14.6%","5.2%","4.6%","48,088","64,493","","(X)","53.6%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","188","0.0%","12.2%","4.8%","0.0%","18.6%","6.4%","0.0%","20.7%","19.7%","17.6%","111,071","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,765","13.0%","7.5%","9.0%","12.3%","6.1%","9.1%","8.2%","20.3%","5.8%","8.8%","54,219","82,209","","(X)","(X)","30.8%"
"Census Tract 47.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,800","6.9%","2.0%","3.5%","3.4%","6.7%","11.8%","11.7%","18.7%","12.9%","22.3%","107,885","143,380","","28.3%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","412","1.0%","1.2%","4.1%","0.0%","3.4%","14.3%","6.1%","19.9%","15.8%","34.2%","143,750","178,846","","(X)","36.9%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","307","1.3%","0.0%","0.0%","0.0%","0.0%","9.1%","2.6%","21.5%","21.2%","44.3%","193,973","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,388","8.7%","2.2%","3.3%","4.4%","7.6%","11.0%","13.4%","18.9%","11.6%","18.8%","99,000","132,541","","(X)","(X)","25.8%"
"Census Tract 48.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,191","7.8%","3.8%","5.0%","1.6%","3.9%","7.6%","8.3%","26.7%","12.9%","22.4%","115,625","136,934","","34.0%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","414","0.0%","0.0%","4.6%","1.4%","9.2%","4.8%","2.7%","31.6%","11.6%","34.1%","133,269","177,861","","(X)","47.8%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","259","0.0%","0.0%","0.0%","2.3%","1.9%","3.5%","0.0%","32.8%","18.1%","41.3%","164,028","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","777","12.0%","5.8%","5.1%","1.7%","1.0%","9.1%","11.3%","24.1%","14.8%","15.1%","104,821","114,365","","(X)","(X)","25.5%"
"Census Tract 48.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,840","6.5%","3.7%","7.8%","8.8%","6.8%","12.3%","9.7%","21.4%","8.7%","14.3%","90,000","103,421","","30.3%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","564","0.0%","2.5%","12.4%","18.1%","4.6%","13.8%","8.3%","7.8%","14.2%","18.3%","57,172","111,679","","(X)","34.6%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","248","0.0%","3.2%","16.1%","8.1%","0.0%","0.0%","15.3%","13.3%","12.5%","31.5%","140,156","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,276","9.4%","4.2%","7.4%","4.7%","8.5%","15.8%","11.0%","20.2%","6.3%","12.5%","73,750","93,709","","(X)","(X)","28.4%"
"Census Tract 49.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,485","8.6%","6.3%","3.9%","8.7%","3.8%","6.4%","7.9%","20.1%","9.2%","25.1%","116,964","134,909","","24.2%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","416","9.6%","3.8%","0.0%","8.2%","4.3%","16.8%","6.5%","5.0%","10.6%","35.1%","126,071","156,706","","(X)","29.3%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","273","4.4%","0.0%","0.0%","0.0%","2.2%","10.3%","5.9%","7.7%","16.1%","53.5%","211,023","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,069","8.2%","7.2%","5.4%","8.9%","3.6%","4.4%","8.4%","24.4%","8.6%","20.8%","110,481","124,993","","(X)","(X)","22.3%"
"Census Tract 49.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,541","12.1%","4.8%","4.3%","3.8%","5.5%","7.5%","8.0%","14.3%","14.5%","25.4%","120,054","135,052","","29.9%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","476","12.6%","4.6%","4.8%","9.9%","3.4%","2.5%","8.8%","5.3%","10.3%","37.8%","130,250","162,539","","(X)","43.1%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","295","0.0%","0.0%","7.8%","0.0%","5.4%","0.0%","10.5%","5.8%","9.5%","61.0%","213,977","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,065","11.8%","4.9%","4.0%","1.0%","6.5%","9.7%","7.6%","19.1%","16.7%","18.7%","108,646","120,949","","(X)","(X)","23.9%"
"Census Tract 50.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","995","1.5%","0.6%","3.0%","2.4%","4.6%","4.1%","13.2%","25.7%","13.2%","31.7%","145,208","208,740","","37.5%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","292","2.4%","0.0%","0.0%","0.0%","1.7%","0.0%","25.3%","29.1%","10.6%","30.8%","145,606","195,556","","(X)","49.0%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","271","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","27.3%","28.0%","11.4%","33.2%","146,402","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","703","1.1%","0.9%","4.3%","3.4%","5.8%","5.8%","8.1%","24.9%","14.2%","31.4%","139,199","212,372","","(X)","(X)","32.7%"
"Census Tract 50.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","3,391","10.7%","3.1%","6.5%","6.5%","5.3%","11.1%","12.8%","15.9%","12.1%","16.0%","87,361","117,258","","23.7%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","831","0.0%","0.0%","4.5%","18.9%","4.6%","6.4%","2.6%","8.7%","18.8%","35.6%","154,946","165,469","","(X)","36.8%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","734","0.0%","0.0%","5.0%","19.6%","5.2%","5.3%","0.0%","7.4%","17.2%","40.3%","174,250","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","2,560","14.2%","4.1%","7.1%","2.4%","5.5%","12.7%","16.1%","18.2%","9.9%","9.6%","82,592","101,609","","(X)","(X)","19.4%"
"Census Tract 52.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","4,130","7.1%","0.0%","3.7%","2.3%","5.0%","14.4%","11.3%","23.6%","11.7%","20.8%","110,441","139,976","","16.7%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","927","2.8%","0.0%","1.9%","1.3%","3.1%","0.0%","7.8%","23.5%","9.4%","50.2%","220,099","220,146","","(X)","9.0%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","874","3.0%","0.0%","0.0%","0.0%","3.3%","0.0%","8.2%","22.3%","10.0%","53.2%","221,842","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","3,203","8.4%","0.0%","4.2%","2.6%","5.5%","18.6%","12.3%","23.6%","12.4%","12.3%","93,682","116,774","","(X)","(X)","19.0%"
"Census Tract 53.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","3,463","8.5%","0.8%","3.1%","4.4%","8.4%","14.8%","12.4%","22.5%","10.7%","14.4%","94,436","119,516","","17.4%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","593","0.0%","0.0%","0.0%","3.2%","3.0%","13.2%","11.5%","15.3%","20.4%","33.4%","153,348","174,724","","(X)","10.6%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","574","0.0%","0.0%","0.0%","0.0%","3.1%","13.6%","11.8%","15.9%","21.1%","34.5%","154,196","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","2,870","10.3%","0.9%","3.8%","4.6%","9.5%","15.1%","12.5%","24.0%","8.7%","10.5%","85,857","108,108","","(X)","(X)","18.8%"
"Census Tract 55, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","4,136","9.8%","3.8%","2.2%","5.7%","5.4%","13.4%","9.5%","16.4%","11.0%","22.9%","100,982","138,942","","21.9%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","1,070","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","15.7%","18.1%","19.6%","46.5%","171,532","233,555","","(X)","30.6%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","1,042","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","16.1%","15.9%","20.2%","47.8%","187,700","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","3,066","13.2%","5.2%","2.9%","7.7%","7.2%","18.1%","7.3%","15.8%","8.0%","14.6%","69,269","105,923","","(X)","(X)","18.9%"
"Census Tract 56, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","3,137","13.8%","5.9%","7.7%","4.0%","2.1%","14.0%","11.2%","17.2%","9.1%","15.1%","83,722","112,734","","26.3%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","494","2.8%","0.0%","9.1%","0.0%","2.4%","7.5%","4.9%","16.0%","16.2%","41.1%","175,357","225,445","","(X)","20.9%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","461","0.0%","0.0%","9.8%","0.0%","2.6%","3.9%","5.2%","17.1%","17.4%","44.0%","177,321","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","2,643","15.9%","7.0%","7.5%","4.7%","2.1%","15.2%","12.3%","17.4%","7.7%","10.2%","73,003","91,668","","(X)","(X)","27.4%"
"Census Tract 58, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","2,165","8.0%","0.8%","2.8%","1.3%","3.8%","6.7%","9.5%","23.8%","15.3%","28.1%","143,268","171,177","","16.5%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","505","0.0%","0.0%","5.1%","4.6%","1.4%","7.7%","1.2%","3.6%","9.9%","66.5%","250,000+","287,494","","(X)","19.8%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","477","0.0%","0.0%","5.5%","4.8%","1.5%","8.2%","1.3%","1.9%","10.5%","66.5%","250,000+","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,660","10.4%","1.1%","2.0%","0.3%","4.5%","6.3%","12.0%","29.9%","16.9%","16.4%","122,368","135,792","","(X)","(X)","15.5%"
"Census Tract 59, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,222","17.1%","4.1%","4.6%","1.9%","4.0%","8.8%","11.9%","25.5%","8.1%","13.9%","92,000","101,674","","30.0%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","125","4.0%","0.0%","0.0%","0.0%","0.0%","0.0%","20.0%","31.2%","5.6%","39.2%","140,694","184,427","","(X)","40.0%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","125","4.0%","0.0%","0.0%","0.0%","0.0%","0.0%","20.0%","31.2%","5.6%","39.2%","140,694","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,097","18.6%","4.6%","5.1%","2.1%","4.5%","9.8%","11.0%","24.9%","8.4%","11.0%","83,850","92,245","","(X)","(X)","28.9%"
"Census Tract 62.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","39","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","100.0%","0.0%","-","N","","100.0%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","0","-","-","-","-","-","-","-","-","-","-","-","-","","(X)","-","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","0","-","-","-","-","-","-","-","-","-","-","-","-","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","39","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","100.0%","0.0%","-","N","","(X)","(X)","100.0%"
"Census Tract 64, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,298","24.4%","12.2%","7.2%","10.2%","11.0%","6.2%","8.9%","7.0%","3.2%","9.7%","30,991","66,551","","38.8%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","578","29.1%","5.5%","8.8%","14.5%","11.6%","5.0%","9.9%","4.0%","2.2%","9.3%","29,539","60,780","","(X)","33.0%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","137","0.0%","0.0%","9.5%","0.0%","21.2%","12.4%","17.5%","0.0%","9.5%","29.9%","-","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","720","23.3%","17.5%","5.8%","4.2%","10.6%","8.8%","6.5%","9.4%","3.9%","10.0%","34,118","69,821","","(X)","(X)","43.3%"
"Census Tract 65, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,161","1.7%","0.9%","5.1%","3.5%","5.7%","9.9%","7.7%","22.0%","13.0%","30.5%","126,964","163,903","","23.2%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","433","2.3%","0.0%","0.0%","0.0%","0.0%","6.7%","1.4%","11.3%","12.5%","65.8%","240,139","250,569","","(X)","25.2%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","399","0.0%","0.0%","0.0%","0.0%","0.0%","7.3%","1.5%","10.3%","11.0%","69.9%","249,861","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","728","1.4%","1.5%","8.1%","5.6%","9.1%","11.8%","11.4%","28.3%","13.3%","9.5%","101,176","110,539","","(X)","(X)","21.2%"
"Census Tract 66, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,003","0.0%","0.9%","1.9%","5.4%","6.4%","12.6%","9.8%","15.5%","28.0%","19.6%","132,396","148,888","","32.8%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","398","0.0%","2.3%","2.3%","0.0%","4.3%","9.0%","1.8%","5.0%","37.2%","38.2%","174,630","212,442","","(X)","23.4%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","377","0.0%","2.4%","2.4%","0.0%","4.5%","9.5%","0.0%","3.7%","37.1%","40.3%","174,861","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","605","0.0%","0.0%","1.7%","8.9%","7.8%","14.9%","15.0%","22.3%","22.0%","7.4%","101,458","106,834","","(X)","(X)","39.0%"
"Census Tract 67, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,786","3.0%","2.0%","0.4%","1.0%","1.8%","8.1%","10.4%","27.0%","11.8%","34.5%","142,813","186,296","","29.3%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","913","0.0%","0.0%","0.8%","0.0%","2.0%","1.9%","6.2%","25.4%","13.4%","50.4%","200,365","231,378","","(X)","29.5%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","764","0.0%","0.0%","0.9%","0.0%","0.0%","2.2%","0.0%","27.1%","14.9%","54.8%","215,929","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","873","6.1%","4.1%","0.0%","2.1%","3.7%","14.7%","12.6%","28.8%","11.0%","17.1%","111,625","136,016","","(X)","(X)","29.2%"
"Census Tract 68.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","951","9.7%","2.3%","3.9%","5.3%","4.8%","10.0%","13.0%","22.5%","7.8%","20.7%","100,880","122,193","","26.9%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
